WARD,month,permits
11,2011-06,3
11,2011-07,15
11,2011-08,1
11,2011-09,6
11,2011-10,7
11,2011-11,3
11,2012-01,2
11,2012-03,3
11,2012-04,12
11,2012-05,3
11,2012-06,3
11,2012-07,3
11,2012-08,1
11,2012-09,4
11,2012-10,6
11,2012-11,4
11,2012-12,4
11,2013-01,5
11,2013-02,4
11,2013-03,5
11,2013-04,12
11,2013-05,10
11,2013-06,10
11,2013-07,10
11,2013-08,6
11,2013-09,10
11,2013-10,3
11,2013-11,3
11,2013-12,7
11,2014-01,5
11,2014-02,6
11,2014-03,1
11,2014-04,8
11,2014-05,9
11,2014-06,3
11,2014-07,6
11,2014-08,9
11,2014-09,16
11,2014-10,11
11,2014-11,5
11,2014-12,3
11,2015-01,3
11,2015-02,8
11,2015-03,14
11,2015-04,12
11,2015-05,3
11,2015-06,7
11,2015-07,7
11,2015-08,4
11,2015-09,13
11,2015-10,7
11,2015-11,5
11,2015-12,3
11,2016-02,2
11,2016-03,6
11,2016-04,5
11,2016-05,5
11,2016-06,10
11,2016-07,8
11,2016-08,8
11,2016-09,10
11,2016-10,5
11,2016-11,6
11,2016-12,8
11,2017-01,5
11,2017-02,2
11,2017-03,7
11,2017-04,5
11,2017-05,3
11,2017-06,17
11,2017-07,10
11,2017-08,8
11,2017-09,11
11,2017-10,8
11,2017-11,11
11,2017-12,7
11,2018-01,4
11,2018-02,6
11,2018-03,3
11,2018-04,4
11,2018-05,4
11,2018-06,6
11,2018-07,9
11,2018-08,12
11,2018-09,6
11,2018-10,13
11,2018-11,5
11,2018-12,4
11,2019-01,6
11,2019-02,3
11,2019-03,4
11,2019-04,7
11,2019-05,4
11,2019-06,5
11,2019-07,10
11,2019-08,6
11,2019-09,9
11,2019-10,7
11,2019-11,2
11,2019-12,4
11,2020-01,2
11,2020-02,7
11,2020-03,4
11,2020-04,3
11,2020-05,3
11,2020-06,2
11,2020-07,4
11,2020-08,3
11,2020-09,10
11,2020-10,6
11,2020-11,5
11,2020-12,1
11,2021-01,4
11,2021-02,4
11,2021-03,6
11,2021-04,2
12,2008-03,1
12,2008-04,1
12,2008-05,1
12,2008-07,3
12,2008-08,1
12,2008-09,2
12,2008-10,2
12,2008-11,2
12,2009-03,1
12,2009-04,1
12,2009-05,1
12,2009-06,1
12,2009-08,1
12,2009-09,1
12,2009-10,1
12,2010-02,1
12,2010-06,4
12,2010-10,1
12,2010-12,2
12,2011-04,2
12,2011-06,3
12,2011-07,1
12,2011-08,1
12,2011-10,2
12,2011-11,1
12,2011-12,3
12,2012-02,1
12,2012-03,1
12,2012-04,2
12,2012-08,1
12,2012-09,3
12,2012-10,1
12,2012-11,1
12,2013-01,1
12,2013-02,2
12,2013-03,2
12,2013-04,4
12,2013-05,2
12,2013-06,2
12,2013-08,3
12,2013-09,1
12,2013-10,3
12,2013-12,2
12,2014-01,4
12,2014-05,2
12,2014-10,3
12,2014-11,1
12,2014-12,2
12,2015-02,1
12,2015-03,1
12,2015-04,6
12,2015-05,2
12,2015-06,3
12,2015-07,2
12,2015-09,7
12,2015-10,8
12,2015-11,2
12,2016-01,1
12,2016-02,5
12,2016-03,1
12,2016-04,1
12,2016-05,7
12,2016-06,2
12,2016-07,1
12,2016-08,1
12,2016-09,18
12,2016-10,1
12,2016-11,3
12,2017-01,1
12,2017-03,1
12,2017-04,5
12,2017-05,4
12,2017-06,2
12,2017-07,6
12,2017-08,4
12,2017-09,17
12,2017-10,9
12,2017-11,3
12,2017-12,1
12,2018-01,2
12,2018-02,1
12,2018-03,2
12,2018-04,3
12,2018-05,4
12,2018-06,2
12,2018-07,3
12,2018-08,2
12,2018-09,2
12,2018-10,1
12,2018-11,2
12,2018-12,1
12,2019-01,1
12,2019-03,1
12,2019-04,4
12,2019-05,1
12,2019-06,1
12,2019-07,3
12,2019-08,4
12,2019-09,3
12,2019-11,1
12,2019-12,2
12,2020-01,2
12,2020-02,3
12,2020-03,3
12,2020-04,1
12,2020-05,1
12,2020-07,3
12,2020-08,1
12,2020-09,2
12,2020-12,1
12,2021-02,1
13,2008-06,1
13,2008-07,1
13,2008-11,3
13,2009-04,1
13,2009-12,1
13,2010-04,2
13,2010-06,1
13,2010-08,1
13,2010-09,1
13,2011-01,1
13,2011-10,1
13,2012-01,1
13,2012-02,1
13,2012-06,1
13,2012-08,2
13,2012-09,1
13,2012-11,1
13,2012-12,1
13,2013-06,1
13,2013-08,2
13,2013-11,1
13,2014-03,1
13,2014-05,1
13,2014-07,1
13,2014-08,1
13,2015-04,1
13,2015-07,3
13,2016-04,1
13,2016-05,1
13,2016-06,1
13,2016-07,4
13,2016-10,1
13,2016-11,2
13,2016-12,1
13,2017-02,1
13,2017-03,1
13,2017-04,1
13,2017-05,1
13,2017-07,1
13,2017-10,1
13,2018-03,1
13,2018-05,1
13,2018-06,1
13,2018-07,1
13,2018-08,1
13,2018-10,1
13,2018-11,1
13,2019-06,1
13,2019-07,1
13,2019-08,1
13,2019-09,1
13,2019-10,1
13,2019-12,1
13,2020-03,1
13,2020-05,1
13,2020-09,1
13,2020-10,1
13,2021-02,1
14,2008-03,4
14,2008-04,3
14,2008-05,2
14,2008-06,1
14,2008-07,4
14,2008-08,1
14,2008-09,1
14,2008-10,2
14,2008-11,2
14,2008-12,2
14,2009-02,1
14,2009-08,1
14,2010-01,1
14,2010-06,2
14,2010-07,1
14,2011-02,3
14,2011-03,1
14,2011-04,1
14,2011-05,1
14,2011-08,2
14,2011-09,1
14,2011-12,1
14,2012-05,1
14,2012-07,1
14,2012-08,1
14,2012-09,1
14,2012-11,1
14,2013-02,1
14,2013-03,2
14,2013-05,1
14,2013-06,1
14,2014-05,1
14,2014-08,2
14,2014-09,1
14,2014-12,2
14,2015-06,1
14,2015-07,3
14,2015-08,1
14,2015-10,4
14,2015-11,11
14,2016-04,2
14,2016-05,1
14,2016-07,2
14,2016-08,2
14,2016-09,1
14,2016-11,3
14,2016-12,1
14,2017-01,2
14,2017-04,2
14,2017-06,1
14,2017-07,3
14,2017-11,2
14,2018-01,1
14,2018-02,1
14,2018-03,1
14,2018-05,3
14,2018-06,3
14,2018-07,3
14,2018-08,1
14,2019-02,1
14,2019-03,1
14,2019-04,2
14,2019-05,1
14,2019-06,1
14,2019-07,2
14,2019-08,2
14,2019-10,1
14,2019-12,2
14,2020-01,2
14,2020-04,2
14,2020-08,1
14,2020-10,1
14,2020-12,1
14,2021-03,1
15,2008-06,1
15,2008-08,2
15,2008-09,1
15,2008-10,1
15,2008-12,1
15,2009-03,1
15,2009-06,1
15,2009-07,2
15,2010-03,3
15,2010-07,1
15,2010-10,1
15,2011-04,1
15,2011-09,2
15,2011-10,1
15,2013-05,1
15,2013-09,2
15,2014-01,2
15,2014-02,1
15,2014-05,1
15,2014-10,1
15,2015-06,1
15,2015-07,1
15,2015-10,1
15,2015-12,1
15,2016-01,1
15,2016-02,1
15,2016-07,1
15,2016-11,1
15,2017-02,1
15,2017-03,3
15,2017-06,2
15,2017-07,1
15,2017-12,1
15,2018-06,2
15,2018-07,2
15,2018-10,1
15,2019-04,2
15,2019-06,1
15,2020-06,1
15,2020-12,2
15,2021-03,2
16,2008-04,2
16,2008-05,1
16,2008-07,1
16,2008-08,4
16,2008-09,2
16,2008-12,1
16,2009-04,1
16,2009-10,1
16,2010-06,1
16,2010-08,1
16,2010-10,1
16,2010-11,1
16,2011-04,1
16,2011-10,1
16,2012-06,1
16,2012-10,1
16,2013-04,10
16,2013-05,1
16,2013-07,1
16,2014-04,1
16,2014-05,1
16,2014-07,1
16,2014-09,1
